"Name.x","Species","Hex.x","Category.x","Year","Month","CountMosq","positive"
"PJ21.AH1(1)","P","AH1","Equal",2021,"PJ",10,0
"PJ21.AH1(2)","P","AH1","Equal",2021,"PJ",10,0
"PJ21.AH2(1)","P","AH2","Higher",2021,"PJ",10,0
"PJ21.AH2(2)","P","AH2","Higher",2021,"PJ",10,0
"PJ21.AH3(1)","P","AH3","Equal",2021,"PJ",10,0
"PJ21.AH3(2)","P","AH3","Equal",2021,"PJ",10,0
"PJ21.AH3(3)","P","AH3","Equal",2021,"PJ",10,0
"PJ21.DP2(1)","P","DP2","Higher",2021,"PJ",10,0
"PJ21.DP2(2)","P","DP2","Higher",2021,"PJ",10,1
"PJ21.DP2(3)","P","DP2","Higher",2021,"PJ",10,0
"PJ21.DP3(1)","P","DP3","Equal",2021,"PJ",10,1
"PJ21.DP3(2)","P","DP3","Equal",2021,"PJ",10,1
"PJ21.DP4(1)","P","DP4","Lower",2021,"PJ",10,1
"PJ21.DP5(1)","P","DP5","Higher",2021,"PJ",10,0
"PJ21.DP5(2)","P","DP5","Higher",2021,"PJ",10,0
"PJ21.EG1(1)","P","EG1","Equal",2021,"PJ",10,0
"PJ21.EG2(1)","P","EG2","Lower",2021,"PJ",10,0
"PJ21.EG2(2)","P","EG2","Lower",2021,"PJ",10,1
"PJ21.EG2(3)","P","EG2","Lower",2021,"PJ",10,1
"PJ21.EG2(4)","P","EG2","Lower",2021,"PJ",10,1
"PJ21.EG3(1)","P","EG3","Higher",2021,"PJ",10,0
"PJ21.EG3(2)","P","EG3","Higher",2021,"PJ",10,0
"PJ21.EG3(3)","P","EG3","Higher",2021,"PJ",10,1
"PJ21.EG4(1)","P","EG4","Equal",2021,"PJ",10,0
"PJ21.EG4(2)","P","EG4","Equal",2021,"PJ",10,1
"PJ21.EG4(3)","P","EG4","Equal",2021,"PJ",10,0
"PJ21.HE1(1)","P","HE1","Higher",2021,"PJ",10,0
"PJ21.HE1(2)","P","HE1","Higher",2021,"PJ",10,0
"PJ21.HE1(3)","P","HE1","Higher",2021,"PJ",10,0
"PJ21.MP1(1)","P","MP1","Higher",2021,"PJ",10,0
"PJ21.MP1(2)","P","MP1","Higher",2021,"PJ",10,0
"PJ21.PH1(1)","P","PH1","Lower",2021,"PJ",10,0
"PJ21.PR1(1)","P","PR1","Lower",2021,"PJ",10,0
"PJ21.PR1(2)","P","PR1","Lower",2021,"PJ",10,1
"PJ21.PR2(1)","P","PR2","Lower",2021,"PJ",10,0
"PJ21.PR2(2)","P","PR2","Lower",2021,"PJ",10,0
"PJ21.PR2(3)","P","PR2","Lower",2021,"PJ",10,0
"PJ21.PR3(1)","P","PR3","Lower",2021,"PJ",10,0
"PJ21.PR3(2)","P","PR3","Lower",2021,"PJ",10,0
"PJ21.PR3(3)","P","PR3","Lower",2021,"PJ",10,0
"PJ21.SC1(1)","P","SC1","Equal",2021,"PJ",10,0
"PJ21.SC1(2)","P","SC1","Equal",2021,"PJ",10,0
"PJ21.SC1(3)","P","SC1","Equal",2021,"PJ",10,1
"PJ21.ST1(1)","P","ST1","Equal",2021,"PJ",10,0
"PJ21.ST1(2)","P","ST1","Equal",2021,"PJ",10,0
"PJ21.ST1(3)","P","ST1","Equal",2021,"PJ",10,0
"PJ22.AH1(1)","P","AH1","Equal",2022,"PJ",10,0
"PJ22.AH1(2)","P","AH1","Equal",2022,"PJ",10,0
"PJ22.AH1(3)","P","AH1","Equal",2022,"PJ",10,0
"PJ22.AH1(4)","P","AH1","Equal",2022,"PJ",10,0
"PJ22.AH2(1)","P","AH2","Higher",2022,"PJ",10,1
"PJ22.AH2(2)","P","AH2","Higher",2022,"PJ",10,0
"PJ22.AH2(3)","P","AH2","Higher",2022,"PJ",10,0
"PJ22.AH2(4)","P","AH2","Higher",2022,"PJ",10,1
"PJ22.AH3(1)","P","AH3","Equal",2022,"PJ",10,0
"PJ22.AH3(2)","P","AH3","Equal",2022,"PJ",10,0
"PJ22.AH3(3)","P","AH3","Equal",2022,"PJ",10,0
"PJ22.AH3(4)","P","AH3","Equal",2022,"PJ",10,1
"PJ22.DP1(1)","P","DP1","Lower",2022,"PJ",10,0
"PJ22.DP1(2)","P","DP1","Lower",2022,"PJ",10,0
"PJ22.DP1(3)","P","DP1","Lower",2022,"PJ",10,0
"PJ22.DP2(1)","P","DP2","Higher",2022,"PJ",10,0
"PJ22.DP2(2)","P","DP2","Higher",2022,"PJ",10,0
"PJ22.DP2(3)","P","DP2","Higher",2022,"PJ",10,0
"PJ22.DP2(4)","P","DP2","Higher",2022,"PJ",10,0
"PJ22.DP3(1)","P","DP3","Equal",2022,"PJ",10,0
"PJ22.DP3(2)","P","DP3","Equal",2022,"PJ",10,0
"PJ22.DP3(3)","P","DP3","Equal",2022,"PJ",10,1
"PJ22.DP4(1)","P","DP4","Lower",2022,"PJ",10,0
"PJ22.DP4(2)","P","DP4","Lower",2022,"PJ",10,0
"PJ22.DP4(3)","P","DP4","Lower",2022,"PJ",10,0
"PJ22.DP4(4)","P","DP4","Lower",2022,"PJ",10,0
"PJ22.DP5(1)","P","DP5","Higher",2022,"PJ",10,0
"PJ22.DP5(2)","P","DP5","Higher",2022,"PJ",10,1
"PJ22.EG1(1)","P","EG1","Equal",2022,"PJ",10,0
"PJ22.EG1(2)","P","EG1","Equal",2022,"PJ",10,0
"PJ22.EG1(3)","P","EG1","Equal",2022,"PJ",10,0
"PJ22.EG2(1)","P","EG2","Lower",2022,"PJ",10,0
"PJ22.EG3(1)","P","EG3","Higher",2022,"PJ",10,0
"PJ22.EG3(2)","P","EG3","Higher",2022,"PJ",10,0
"PJ22.EG3(3)","P","EG3","Higher",2022,"PJ",10,0
"PJ22.EG4(1)","P","EG4","Equal",2022,"PJ",10,0
"PJ22.EG4(2)","P","EG4","Equal",2022,"PJ",10,1
"PJ22.EG4(3)","P","EG4","Equal",2022,"PJ",10,0
"PJ22.EG4(4)","P","EG4","Equal",2022,"PJ",10,1
"PJ22.HE1(1)","P","HE1","Higher",2022,"PJ",10,0
"PJ22.HE1(2)","P","HE1","Higher",2022,"PJ",10,0
"PJ22.HE1(3)","P","HE1","Higher",2022,"PJ",10,0
"PJ22.HE1(4)","P","HE1","Higher",2022,"PJ",10,0
"PJ22.HP1(1)","P","HP1","Higher",2022,"PJ",10,0
"PJ22.HP1(2)","P","HP1","Higher",2022,"PJ",10,0
"PJ22.HP1(3)","P","HP1","Higher",2022,"PJ",10,1
"PJ22.MP1(1)","P","MP1","Higher",2022,"PJ",10,0
"PJ22.MP1(2)","P","MP1","Higher",2022,"PJ",10,0
"PJ22.MP1(3)","P","MP1","Higher",2022,"PJ",10,0
"PJ22.MP1(4)","P","MP1","Higher",2022,"PJ",10,0
"PJ22.PH1(1)","P","PH1","Lower",2022,"PJ",10,0
"PJ22.PH1(2)","P","PH1","Lower",2022,"PJ",10,0
"PJ22.PH1(3)","P","PH1","Lower",2022,"PJ",10,0
"PJ22.PR1(1)","P","PR1","Lower",2022,"PJ",10,0
"PJ22.PR1(2)","P","PR1","Lower",2022,"PJ",10,1
"PJ22.PR1(3)","P","PR1","Lower",2022,"PJ",10,0
"PJ22.PR2(1)","P","PR2","Lower",2022,"PJ",10,0
"PJ22.PR2(2)","P","PR2","Lower",2022,"PJ",10,0
"PJ22.PR2(3)","P","PR2","Lower",2022,"PJ",10,0
"PJ22.PR2(4)","P","PR2","Lower",2022,"PJ",10,0
"PJ22.PR3(1)","P","PR3","Lower",2022,"PJ",10,0
"PJ22.PR3(2)","P","PR3","Lower",2022,"PJ",10,0
"PJ22.PR3(3)","P","PR3","Lower",2022,"PJ",10,0
"PJ22.PR3(4)","P","PR3","Lower",2022,"PJ",10,0
"PJ22.SC1(1)","P","SC1","Equal",2022,"PJ",10,0
"PJ22.SC1(2)","P","SC1","Equal",2022,"PJ",10,0
"PJ22.SC1(3)","P","SC1","Equal",2022,"PJ",10,0
"PJ22.ST1(1)","P","ST1","Equal",2022,"PJ",10,0
"PJ22.ST1(2)","P","ST1","Equal",2022,"PJ",10,0
