PlateVal,Include,Color,Pos,Name,Cp,Pos_Tm,Tm1,Tm2
522,TRUE,65280,E9,Sample 57,,E9,,
522,TRUE,255,E10,Sample 58,40,E10,85.6,
522,TRUE,255,E11,Sample 59,16.9,E11,,
522,TRUE,255,E12,Sample 60,14.72,E12,,
522,TRUE,65280,F1,Sample 61,,F1,,
522,TRUE,255,F2,Sample 62,40,F2,85.3,
522,TRUE,255,F3,Sample 63,34.65,F3,80.94,
522,TRUE,255,F4,Sample 64,37.12,F4,83.06,
522,TRUE,255,F5,Sample 65,40,F5,79.31,
522,TRUE,65280,F6,Sample 66,,F6,,
522,TRUE,65280,F7,Sample 67,,F7,,
522,TRUE,255,F8,Sample 68,40,F8,79.92,
522,TRUE,65280,F9,Sample 69,,F9,,
522,TRUE,65280,F10,Sample 70,,F10,,
522,TRUE,255,F11,Sample 71,22.3,F11,,
522,TRUE,65280,F12,Sample 72,,F12,,
522,TRUE,65280,G1,Sample 73,,G1,,
522,TRUE,65280,G2,Sample 74,,G2,,
522,TRUE,255,G3,Sample 75,34.26,G3,82.01,
522,TRUE,255,G4,Sample 76,31.56,G4,80.25,
522,TRUE,65280,G5,Sample 77,,G5,,
522,TRUE,65280,G6,Sample 78,,G6,,
522,TRUE,65280,G7,Sample 79,,G7,,
522,TRUE,65280,G8,Sample 80,,G8,,
522,TRUE,65280,G9,Sample 81,,G9,,
522,TRUE,65280,G10,Sample 82,,G10,,
522,TRUE,255,G11,Sample 83,33.26,G11,,
522,TRUE,255,G12,Sample 84,40,G12,78.18,
522,TRUE,65280,H1,Sample 85,,H1,,
522,TRUE,65280,H2,Sample 86,,H2,81.41,88.35
522,TRUE,65280,H3,Sample 87,,H3,,
522,TRUE,255,H4,Sample 88,34.72,H4,78.06,81.97
522,TRUE,65280,H5,Sample 89,,H5,,
522,TRUE,65280,H6,Sample 90,,H6,,
522,TRUE,65280,H7,Sample 91,,H7,,
522,TRUE,65280,H8,Sample 92,,H8,,
522,TRUE,65280,H9,Sample 93,,H9,,
522,TRUE,65280,H10,Sample 94,,H10,,
522,TRUE,255,H11,Sample 95,5.41,H11,,
522,TRUE,255,H12,Sample 96,40,H12,78.19,
604,TRUE,255,A1,Sample 1,39.19,A1,81.12,
604,TRUE,65280,A2,Sample 2,,A2,,
604,TRUE,65280,A3,Sample 3,,A3,,
604,TRUE,65280,A4,Sample 4,,A4,,
604,TRUE,65280,A5,Sample 5,,A5,,
604,TRUE,65280,A6,Sample 6,,A6,,
604,TRUE,65280,A7,Sample 7,,A7,,
604,TRUE,255,A8,Sample 8,34.53,A8,81.37,85.57
604,TRUE,65280,A9,Sample 9,,A9,,
604,TRUE,65280,A10,Sample 10,,A10,,
604,TRUE,255,A11,Sample 11,23.38,A11,82.18,
604,TRUE,255,A12,Sample 12,37.69,A12,,
604,TRUE,65280,B1,Sample 13,,B1,,
604,TRUE,65280,B2,Sample 14,,B2,,
604,TRUE,255,B3,Sample 15,32.94,B3,81.34,
604,TRUE,255,B4,Sample 16,33.47,B4,81.4,
604,TRUE,65280,B5,Sample 17,,B5,,
604,TRUE,65280,B6,Sample 18,,B6,,
604,TRUE,65280,B7,Sample 19,,B7,,
604,TRUE,255,B8,Sample 20,35.3,B8,78.37,
604,TRUE,65280,B9,Sample 21,,B9,,
604,TRUE,65280,B10,Sample 22,,B10,,
604,TRUE,255,B11,Sample 23,26.59,B11,82.02,
604,TRUE,65280,B12,Sample 24,,B12,,
604,TRUE,255,C1,Sample 25,31.32,C1,81.06,
604,TRUE,255,C2,Sample 26,31.82,C2,80.91,
604,TRUE,255,C3,Sample 27,27.88,C3,81.63,
604,TRUE,255,C4,Sample 28,27.81,C4,81.61,
604,TRUE,255,C5,Sample 29,40,C5,79.28,
604,TRUE,65280,C6,Sample 30,,C6,,
604,TRUE,255,C7,Sample 31,40,C7,81.03,
604,TRUE,65280,C8,Sample 32,,C8,,
604,TRUE,255,C9,Sample 33,38.84,C9,85.48,
604,TRUE,65280,C10,Sample 34,,C10,,
604,TRUE,255,C11,Sample 35,30.63,C11,81.99,
604,TRUE,255,C12,Sample 36,7,C12,,
604,TRUE,65280,D1,Sample 37,,D1,,
604,TRUE,255,D2,Sample 38,40,D2,77.95,
604,TRUE,255,D3,Sample 39,36.84,D3,79.21,
604,TRUE,255,D4,Sample 40,36.58,D4,82.84,
604,TRUE,65280,D5,Sample 41,,D5,,
604,TRUE,65280,D6,Sample 42,,D6,,
604,TRUE,255,D7,Sample 43,22.5,D7,80.6,
604,TRUE,255,D8,Sample 44,22.57,D8,80.79,
604,TRUE,65280,D9,Sample 45,,D9,,
604,TRUE,65280,D10,Sample 46,,D10,,
604,TRUE,255,D11,Sample 47,34.01,D11,82.01,
604,TRUE,255,D12,Sample 48,7.69,D12,,
604,TRUE,65280,E1,Sample 49,,E1,,
604,TRUE,65280,E2,Sample 50,,E2,,
604,TRUE,65280,E3,Sample 51,,E3,,
604,TRUE,65280,E4,Sample 52,,E4,,
604,TRUE,255,E5,Sample 53,40,E5,78.16,84.89
604,TRUE,255,E6,Sample 54,37.18,E6,78.37,
604,TRUE,255,E7,Sample 55,32.94,E7,78.06,81.8
604,TRUE,65280,E8,Sample 56,,E8,,
604,TRUE,65280,E9,Sample 57,,E9,,
604,TRUE,255,E10,Sample 58,40,E10,78.92,
604,TRUE,255,E11,Sample 59,11.34,E11,,
604,TRUE,255,E12,Sample 60,9.98,E12,,
604,TRUE,65280,F1,Sample 61,,F1,,
604,TRUE,65280,F2,Sample 62,,F2,,
604,TRUE,255,F3,Sample 63,23.35,F3,81.92,
604,TRUE,255,F4,Sample 64,23.37,F4,81.92,
604,TRUE,255,F5,Sample 65,34.46,F5,76.85,82.45
604,TRUE,255,F6,Sample 66,34.94,F6,80.28,
604,TRUE,255,F7,Sample 67,35.5,F7,82.02,86.32
604,TRUE,255,F8,Sample 68,36.83,F8,78.46,
604,TRUE,255,F9,Sample 69,40,F9,76.07,
604,TRUE,65280,F10,Sample 70,,F10,,
604,TRUE,255,F11,Sample 71,14.81,F11,,
604,TRUE,65280,F12,Sample 72,,F12,,
604,TRUE,65280,G1,Sample 73,,G1,,
604,TRUE,65280,G2,Sample 74,,G2,,
604,TRUE,65280,G3,Sample 75,,G3,,
604,TRUE,255,G4,Sample 76,37.46,G4,82.73,
604,TRUE,65280,G5,Sample 77,,G5,,
604,TRUE,65280,G6,Sample 78,,G6,,
604,TRUE,255,G7,Sample 79,36.44,G7,81.74,
604,TRUE,65280,G8,Sample 80,,G8,,
604,TRUE,65280,G9,Sample 81,,G9,,
604,TRUE,65280,G10,Sample 82,,G10,,
604,TRUE,255,G11,Sample 83,23.6,G11,,
604,TRUE,255,G12,Sample 84,40,G12,77.09,
604,TRUE,65280,H1,Sample 85,,H1,,
604,TRUE,65280,H2,Sample 86,,H2,,
604,TRUE,65280,H3,Sample 87,,H3,,
604,TRUE,65280,H4,Sample 88,,H4,,
604,TRUE,65280,H5,Sample 89,,H5,,
604,TRUE,65280,H6,Sample 90,,H6,,
604,TRUE,255,H7,Sample 91,32.87,H7,81.88,
604,TRUE,255,H8,Sample 92,33.36,H8,81.92,
604,TRUE,255,H9,Sample 93,16.73,H9,,
604,TRUE,65280,H10,Sample 94,,H10,,
604,TRUE,65280,H11,Sample 95,,H11,,
604,TRUE,65280,H12,Sample 96,,H12,,
618,TRUE,65280,A1,Sample 1,,A1,,
618,TRUE,65280,A2,Sample 2,,A2,86.08,
618,TRUE,255,A3,Sample 3,34.59,A3,82.64,86.02
618,TRUE,255,A4,Sample 4,36.15,A4,81.84,
618,TRUE,65280,A5,Sample 5,,A5,,
618,TRUE,255,A6,Sample 6,38.94,A6,79.31,86.56
618,TRUE,255,A7,Sample 7,37.58,A7,82.07,
618,TRUE,255,A8,Sample 8,32.2,A8,80.29,
618,TRUE,255,A9,Sample 9,23.08,A9,82.18,
618,TRUE,255,A10,Sample 10,33.68,A10,,
618,TRUE,65280,A11,Sample 11,,A11,,
618,TRUE,65280,A12,Sample 12,,A12,,
618,TRUE,255,B1,Sample 13,35.2,B1,81.51,
618,TRUE,255,B2,Sample 14,32.9,B2,81.45,
618,TRUE,255,B3,Sample 15,40,B3,78.86,
618,TRUE,255,B4,Sample 16,35.5,B4,81.31,
618,TRUE,255,B5,Sample 17,34.29,B5,80.63,
618,TRUE,255,B6,Sample 18,33.52,B6,80.59,
618,TRUE,65280,B7,Sample 19,,B7,,
